C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,7682542,2659808
A002,R051,02-00-00,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,7682543,2659819
A002,R051,02-00-00,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,7682552,2659875
A002,R051,02-00-00,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,7682593,2659931
A002,R051,02-00-00,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,7682619,2659985
A002,R051,02-00-00,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,7682659,2660005
A002,R051,02-00-01,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,6795719,1570934
A002,R051,02-00-01,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,6795721,1570938
A002,R051,02-00-01,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,6795732,1570965
A002,R051,02-00-01,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,6795751,1570999
A002,R051,02-00-01,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,6795789,1571031
A002,R051,02-00-01,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,6795812,1571042
A002,R051,02-03-00,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,1482150,5636857
A002,R051,02-03-00,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,1482151,5636875
A002,R051,02-03-00,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,1482157,5636987
A002,R051,02-03-00,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,1482173,5637168
A002,R051,02-03-00,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,1482209,5637296
A002,R051,02-03-00,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,1482231,5637357
A002,R051,02-03-01,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,1723644,2728933
A002,R051,02-03-01,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,1723647,2728950
A002,R051,02-03-01,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,1723668,2729055
A002,R051,02-03-01,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,1723725,2729239
A002,R051,02-03-01,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,1723811,2729386
A002,R051,02-03-01,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,1723870,2729472
A002,R051,02-03-02,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,136908,198066
A002,R051,02-03-02,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,136911,198087
A002,R051,02-03-02,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,136932,198174
A002,R051,02-03-02,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,136975,198271
A002,R051,02-03-02,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,137041,198377
A002,R051,02-03-02,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,137091,198427
A002,R051,02-03-03,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,6253993,7122452
A002,R051,02-03-03,NQR456W,BMT,01/30/2022,07:00:00,REGULAR,6253996,7122472
A002,R051,02-03-03,NQR456W,BMT,01/30/2022,11:00:00,REGULAR,6254013,7122525
A002,R051,02-03-03,NQR456W,BMT,01/30/2022,15:00:00,REGULAR,6254052,7122580
A002,R051,02-03-03,NQR456W,BMT,01/30/2022,19:00:00,REGULAR,6254114,7122635
A002,R051,02-03-03,NQR456W,BMT,01/30/2022,23:00:00,REGULAR,6254160,7122661
A002,R051,02-03-04,NQR456W,BMT,01/30/2022,03:00:00,REGULAR,7648933,3978446
